kata name,developer,kata rank,publish date,total stars,no. collections kata part of,times attempted,times skipped,total code submissions,total times completed,total times completed (P),percentage of votes with positive feedback [%],total votes,total very satisfied,total somewhat satisfied,total not satisfied,total rank assessment,average assessed rank,highest assessed rank,lowest assessed rank,tags
Bonuses,g964,6 kyu,"Aug 30, 2019",64,19,2332,110,2864,397,236,77,99,67,19,13,20.0,6 kyu,4 kyu,8 kyu,Fundamentals
Numbers to Letters,PG1,7 kyu,"Sep 28, 2016",75,17,6749,142,12988,3544,"1,501",89,716,585,105,26,10.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Strings, Numbers, Arrays"
Small enough? - Beginner,PG1,7 kyu,"Sep 4, 2016",48,22,9214,421,19481,7030,"2,184",90,1178,957,198,23,204.0,7 kyu,5 kyu,8 kyu,"Fundamentals, Booleans, Numbers, Arrays"
Robinson Crusoe,g964,7 kyu,"Oct 3, 2019",33,6,1816,116,1447,482,237,80,108,78,17,13,19.0,6 kyu,5 kyu,8 kyu,Fundamentals
Which are in?,g964,6 kyu,"Mar 15, 2015",883,214,97863,19071,211620,40315,"2,120",87,4548,3451,992,105,,,,,"Refactoring, Arrays, Search, Algorithms, Lists, Data, Structures, Strings"
Build Tower,8fdafs2,6 kyu,"Jun 20, 2016",1279,254,89987,17165,170043,40950,"16,393",91,5151,4261,818,72,14.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Strings, Basic, Language, Features"
Morse Encoding,constablebrew,5 kyu,"May 7, 2014",356,62,6448,2543,12771,1080,493,93,218,191,22,5,,,,,"Algorithms, Bits, Binary, Strings, Numbers, Integers, Parsing"
PI approximation ,g964,6 kyu,"Mar 15, 2015",208,40,20589,7883,27930,3872,102,82,692,486,159,47,,,,,"Fundamentals, Arrays, Mathematics, Algorithms, Numbers"
Decode the Morse code ,jolaf,6 kyu,"Jan 15, 2015",3224,620,206696,34843,695647,63160,"18,816",89,9674,7632,1864,178,,,,,Algorithms
Array.diff,marcinbunsch,6 kyu,"Sep 22, 2013",1552,265,224380,28083,461109,105800,"41,211",87,13869,10656,2827,386,,,,,"Fundamentals, Arrays"
Ease the StockBroker,g964,6 kyu,"Feb 14, 2015",159,34,7538,2487,26636,1351,239,76,303,191,79,33,,,,,"Fundamentals, Strings"
Moving Zeros To The End,xcthulhu,5 kyu,"Oct 12, 2013",988,257,84913,8245,313499,58580,"30,735",88,5764,4562,1024,178,20.0,5 kyu,4 kyu,7 kyu,"Algorithms, Interview, Questions, Arrays, Sorting"
Elimination Tournament ,JOLee83,6 kyu,"Sep 19, 2020",42,7,1469,19,3098,609,247,92,136,117,15,4,19.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Arrays"
Persistent Bugger.,joh_pot,6 kyu,"Aug 3, 2015",2375,434,189040,29493,380023,91973,"30,932",91,11489,9555,1811,123,,,,,"Fundamentals, Numbers"
FizzBuzz Backwards,marbiru,6 kyu,"Sep 5, 2017",20,3,865,11,2213,401,207,95,126,114,12,0,10.0,6 kyu,6 kyu,8 kyu,Fundamentals
Will you make it?,user2514386,8 kyu,"Dec 27, 2016",128,58,37252,1013,74124,27937,"9,277",88,3338,2636,612,90,60.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Calculate BMI,wichu,8 kyu,"Aug 5, 2016",177,63,34983,1232,89333,26523,509,86,3692,2847,693,152,9.0,7 kyu,7 kyu,8 kyu,Fundamentals
Don't Drink the Water,NateBrady23,5 kyu,"Oct 26, 2015",103,6,3439,477,7048,1454,615,94,212,191,17,4,,,,,"Algorithms, Arrays, Sorting, Lists, Data, Structures"
Hanoi record,Bugari,6 kyu,"Apr 16, 2014",27,2,1420,162,1665,671,305,81,124,90,22,12,18.0,7 kyu,6 kyu,8 kyu,"Puzzles, Fundamentals, Algorithms, Numbers, Mathematics"
Mumbling,g964,7 kyu,"Dec 9, 2015",1721,381,202806,20060,425631,112379,"5,009",90,14412,11720,2497,195,,,,,Fundamentals
Count the Digit,g964,7 kyu,"Dec 15, 2015",483,83,59813,13615,78676,19960,840,87,2933,2243,607,83,,,,,Fundamentals
Create Phone Number,xDranik,6 kyu,"Oct 17, 2013",1470,327,217554,20048,346721,128685,"47,023",84,14300,10162,3591,547,,,,,"Algorithms, Arrays, Strings, Loops, Control, Flow, Basic, Language, Features, Fundamentals, Formatting, Regular, Expressions, Declarative, Programming, Advanced, Language, Features"
Make A Window,Capocaccia,6 kyu,"Sep 19, 2017",9,2,1533,49,2759,729,299,85,139,102,33,4,42.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Loops, Control, Flow, Basic, Language, Features, Algorithms"
Rotate for a Max,g964,7 kyu,"Jan 24, 2016",450,93,25949,5328,61187,6111,273,86,1116,857,208,51,,,,,Fundamentals
Coding Meetup #2 - Higher-Order Functions Series - Greet developers,PiotrBerebecki,7 kyu,"Nov 12, 2016",72,43,5217,131,13806,4030,"3,645",94,646,571,67,8,8.0,7 kyu,7 kyu,8 kyu,"Algorithms, Higher, Functions, Functions, Control, Flow, Basic, Language, Features, Fundamentals, Data, Structures, Strings, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Arrays, Objects, Functional, Programming"
Simple Fun #2: Circle of Numbers,myjinxin2015,7 kyu,"Jan 22, 2017",37,21,4742,195,7847,3005,853,91,597,501,81,15,14.0,7 kyu,7 kyu,8 kyu,"Puzzles, Games"
Enumerable Magic #25 - Take the First N Elements,bellmyer,8 kyu,"Nov 6, 2014",63,16,12680,173,31289,9899,"1,267",90,1415,1172,200,43,109.0,7 kyu,1 kyu,8 kyu,Fundamentals
Coding Meetup #15 - Higher-Order Functions Series - Find the odd names,PiotrBerebecki,6 kyu,"Nov 27, 2016",42,23,1479,30,3497,1131,"1,009",95,262,237,22,3,9.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Higher, Functions, Functions, Control, Flow, Basic, Language, Features, Functional, Programming, Declarative, Programming, Data, Structures, Arrays, Objects, Algorithms, Strings"
Twice as old,petrosernivka,8 kyu,"Aug 28, 2018",144,42,21573,480,33741,14015,"4,153",89,1940,1584,288,68,6.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Substituting Variables Into Strings: Padded Numbers,jhoffner,7 kyu,"Jun 24, 2013",56,23,10249,793,26201,7414,"2,970",88,628,496,111,21,,,,,"Fundamentals, Strings, String, Formatting, Formatting, Algorithms"
JavaScript Array Filter,jhoffner,7 kyu,"Apr 2, 2013",51,20,12551,924,25553,9873,"8,204",89,921,750,147,24,,,,,"Fundamentals, Arrays"
Best travel,g964,5 kyu,"Sep 2, 2015",1749,338,55223,17515,109294,10408,854,90,1535,1272,224,39,,,,,Fundamentals
Reverse or rotate?,g964,6 kyu,"Feb 6, 2016",783,157,59483,20784,92192,12778,724,86,2114,1609,424,81,,,,,Fundamentals
Switcheroo,PG1,7 kyu,"Oct 7, 2016",39,21,7605,159,11191,5509,"2,366",92,756,646,98,12,14.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings"
Drone Fly-By,PG1,7 kyu,"Nov 23, 2016",26,10,4804,55,12656,2752,"1,517",89,453,371,67,15,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Arrays"
Returning Strings,Aweson1,8 kyu,"Jul 16, 2015",134,56,47574,1411,69441,37434,"12,275",87,3835,2993,655,187,153.0,7 kyu,1 kyu,8 kyu,"Fundamentals, Strings"
Abbreviate a Two Word Name,samjam48,8 kyu,"Sep 27, 2016",429,139,60771,2055,182340,43798,"18,554",91,5316,4461,775,80,11.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Arrays"
Remove First and Last Character,Steadyx,8 kyu,"Feb 11, 2016",580,230,111415,4135,237665,87093,"37,940",90,9270,7688,1380,202,201.0,7 kyu,5 kyu,8 kyu,"Fundamentals, Basic, Language, Features, Strings"
"Do you speak ""English""?",tyeung2017,8 kyu,"Mar 29, 2017",42,18,8429,68,22755,5995,"5,041",92,985,838,132,15,24.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Loops, Control, Flow, Basic, Language, Features"
Disguised sequences (II),g964,6 kyu,"Apr 1, 2016",59,10,4249,1372,2698,379,16,88,108,86,17,5,8.0,6 kyu,4 kyu,8 kyu,"Fundamentals, Puzzles, Games"
John and Ann sign up for Codewars,g964,5 kyu,"Jun 9, 2016",349,65,15699,5679,17352,2529,76,86,471,353,102,16,,,,,"Algorithms, Rules, Mathematics, Numbers"
Calculate average ,wichu,8 kyu,"Aug 3, 2016",216,94,45628,2556,99513,33338,625,88,4545,3560,844,141,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Functional, Programming, Declarative, Programming"
Greatest common divisor,RVdeKoning,7 kyu,"Mar 12, 2015",135,44,13880,304,28246,10322,"1,372",90,694,575,103,16,,,,,"Algorithms, Optimization, Fundamentals, Recursion, Computability, Theory, Theoretical, Computer, Science"
ScholarStem: Unit 6- Baby count! ,shaddyjr,7 kyu,"Apr 5, 2016",4,2,652,2,784,546,319,89,160,129,27,4,17.0,7 kyu,7 kyu,8 kyu,Fundamentals
Magnitude,g964,6 kyu,"Apr 29, 2019",22,2,1015,43,860,178,8,86,52,39,11,2,6.0,6 kyu,5 kyu,8 kyu,Fundamentals
Isograms,chunjef,7 kyu,"Jan 17, 2015",1275,254,199277,18852,373019,99495,"1,688",89,12155,9751,2235,169,,,,,"Fundamentals, Strings"
pick a set of first elements,darlanmendonca,8 kyu,"May 5, 2016",28,10,3687,47,13037,2611,"1,898",89,567,464,86,17,65.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Arrays"
Find the stray number,janitormeir,7 kyu,"Oct 6, 2016",341,117,44564,5856,117630,24459,"6,707",89,3088,2455,576,57,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Numbers, Algorithms"
Odd or Even?,ethaning,7 kyu,"Jun 20, 2017",213,84,51617,3678,96873,38633,"13,032",90,4508,3699,718,91,56.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Arithmetic, Mathematics, Algorithms, Numbers, Arrays"
Filter Long Words,anuprajg,7 kyu,"Jan 14, 2016",9,5,2519,24,3972,2087,"1,267",93,328,291,31,6,,,,,Fundamentals
Keep up the hoop,Tam Borine,8 kyu,"Aug 12, 2015",58,22,20360,952,37799,17172,"8,220",86,2661,2044,481,136,321.0,7 kyu,1 kyu,8 kyu,Fundamentals
Suitcase packing,SADragonMaker,7 kyu,"Feb 2, 2019",30,-13,2914,60,18612,1293,514,85,300,227,54,19,16.0,7 kyu,7 kyu,8 kyu,Puzzles
Beginner Series #1 School Paperwork,Vortus,8 kyu,"Sep 16, 2015",192,48,37973,1070,97203,30478,"2,926",90,3478,2848,530,100,349.0,7 kyu,1 kyu,8 kyu,Fundamentals
All Star Code Challenge #24,shaddyjr,7 kyu,"Dec 31, 2016",9,3,919,4,1257,768,473,92,165,144,17,4,12.0,7 kyu,7 kyu,8 kyu,Fundamentals
All Star Code Challenge #20,shaddyjr,7 kyu,"Dec 31, 2016",10,5,980,6,2038,694,452,90,168,140,22,6,12.0,7 kyu,7 kyu,8 kyu,Fundamentals
Steps in Primes,g964,6 kyu,"Oct 6, 2015",365,78,22490,7311,32530,4446,199,90,763,627,119,17,,,,,"Fundamentals, Numbers"
Speed Control,g964,7 kyu,"Nov 15, 2015",276,50,31426,7372,57845,9195,271,84,1400,1028,298,74,,,,,Fundamentals
English beggars,GiacomoSorbi,6 kyu,"Jul 3, 2017",194,55,10795,1603,18101,4971,"1,448",91,747,636,93,18,5.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Queues, Arrays, Lists, Data, Structures, Map, Reduce, Algorithms, Recursion, Computability, Theory, Theoretical, Computer, Science, Arithmetic, Mathematics, Numbers"
Parabolic Arc Length,g964,6 kyu,"Oct 26, 2015",174,40,9517,2928,10621,2203,49,88,405,319,75,11,,,,,Fundamentals
Circular List,hughjdavey,7 kyu,"Jun 23, 2018",18,8,1278,26,2265,394,75,85,102,77,19,6,6.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Lists, Data, Structures"
Billiards triangle,petrosernivka,7 kyu,"Oct 2, 2018",42,9,3987,124,6270,2012,854,87,312,240,62,10,92.0,7 kyu,1 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers, Loops, Control, Flow, Basic, Language, Features"
Easy wallpaper,g964,7 kyu,"Dec 19, 2015",119,21,13266,1445,32760,4055,158,71,674,395,165,114,,,,,Fundamentals
Buying a car,g964,6 kyu,"May 6, 2015",730,117,46453,13456,102307,10719,278,71,1805,1005,539,261,,,,,"Fundamentals, Mathematics, Algorithms, Numbers"
Fix the pipes - #2 - is it leaking?,dcieslak,3 kyu,"Oct 31, 2017",43,12,840,307,1274,106,90,100,39,39,0,0,3.0,3 kyu,3 kyu,4 kyu,"Fundamentals, Arrays, Strings"
MakeUpperCase,wichu,8 kyu,"Aug 2, 2016",146,50,36605,1249,59088,29947,560,83,3928,2857,806,265,10.0,7 kyu,7 kyu,8 kyu,Fundamentals
Thinkful - Logic Drills: Traffic light,Grae-Drake,8 kyu,"Dec 29, 2016",98,46,17839,293,30160,14608,"5,606",90,2058,1697,329,32,48.0,7 kyu,5 kyu,8 kyu,"Fundamentals, Control, Flow, Basic, Language, Features"
Diophantine Equation,g964,5 kyu,"May 10, 2015",620,108,21910,9005,38141,2976,94,88,490,400,67,23,,,,,"Fundamentals, Mathematics, Algorithms, Numbers"
All Star Code Challenge #15,shaddyjr,6 kyu,"Dec 31, 2016",11,6,1307,10,2559,897,520,96,232,218,11,3,12.0,6 kyu,6 kyu,7 kyu,Fundamentals
"Hidden ""Cubic"" numbers",g964,6 kyu,"Mar 13, 2015",125,24,7492,2107,13035,1216,153,88,253,204,37,12,,,,,Fundamentals
Will there be enough space?,user2514386,8 kyu,"Jan 11, 2017",137,44,26366,595,59887,21420,"6,628",90,2615,2155,407,53,120.0,7 kyu,5 kyu,8 kyu,"Fundamentals, Numbers"
Powers of 2,wichu,8 kyu,"Aug 2, 2016",125,41,14251,913,28696,9928,400,91,1701,1420,254,27,,,,,Fundamentals
Digitize,mcclaskc,7 kyu,"Sep 15, 2014",50,12,10886,736,33480,7709,697,88,533,426,90,17,,,,,"Algorithms, Lists, Data, Structures, Numbers, Parsing, Strings"
Letterbox Paint-Squad,dinglemouse,7 kyu,"Jul 30, 2017",60,27,4961,130,8376,2970,516,95,545,492,52,1,6.0,7 kyu,7 kyu,7 kyu,Fundamentals
